"fid","Plant_ID","spl_code","Panel","General","Detail","Cut","Panel.Label","x_coord","y_coord","mg"
1,"Cotinus coggygria Scop. 'Purpureus'","dbgi_000909","DCIM/JPEG_20230207125354478.jpg","DCIM/JPEG_20230207125420052.jpg","DCIM/JPEG_20230207125437941.jpg","DCIM/Stephanie_sampleCotinus coggygria Scop. 'Purpureus'dbgi_000909DCIM/JPEG_20230207125509993.jpg.jpg","DCIM/JPEG_20230207125543410.jpg",7.15549712160495,46.7929275743982,NA
17,"Lenophyllum texanum (J.G. Sm.) Rose","dbgi_000913","DCIM/JPEG_20230223114542353.jpg","DCIM/JPEG_20230223114559418.jpg","DCIM/JPEG_20230223114618419.jpg","DCIM/JPEG_20230223114647001.jpg","DCIM/JPEG_20230223114703631.jpg",7.15579449570486,46.7930713221936,NA
8,"Pistacia vera L. Femelle","dbgi_000914","DCIM/JPEG_20230207131535847.jpg","DCIM/JPEG_20230207131558826.jpg","DCIM/JPEG_20230207131639037.jpg","DCIM/JPEG_20230207131711951.jpg","DCIM/JPEG_20230207131617543.jpg",7.15507171746993,46.7931423277083,NA
20,"Pachyphytum compactum Rose","dbgi_000915","DCIM/JPEG_20230223115855405.jpg","DCIM/JPEG_20230223115903162.jpg","DCIM/JPEG_20230223115916926.jpg","DCIM/JPEG_20230223115924726.jpg","DCIM/JPEG_20230223115944556.jpg",7.15577912141485,46.7930712839729,NA
12,"Sedum treleasei Rose","dbgi_000917","DCIM/JPEG_20230223105038604.jpg","DCIM/JPEG_20230223105102627.jpg","DCIM/JPEG_20230223105126941.jpg","DCIM/JPEG_20230223105202803.jpg","DCIM/JPEG_20230223105240092.jpg",7.15580757098494,46.7930694605005,NA
13,"Sedum rubrotinctum R.T. Clausen","dbgi_000919","DCIM/JPEG_20230223112147003.jpg","DCIM/JPEG_20230223112211526.jpg","DCIM/JPEG_20230223112219939.jpg","DCIM/JPEG_20230223112247753.jpg","DCIM/JPEG_20230223112259416.jpg",7.15580422250843,46.7930713837471,NA
14,"Sedum rubrotinctum R.T. Clausen","dbgi_000921","DCIM/JPEG_20230223112906489.jpg","DCIM/JPEG_20230223112943216.jpg","DCIM/JPEG_20230223112956522.jpg","DCIM/JPEG_20230223113028144.jpg","DCIM/JPEG_20230223113042614.jpg",7.15580410503674,46.7930713460814,NA
22,"Pachyphytum oviferum J.A. Purpus","dbgi_000922","DCIM/JPEG_20230223120641294.jpg","DCIM/JPEG_20230223120651153.jpg","DCIM/JPEG_20230223120704433.jpg","DCIM/JPEG_20230223120712187.jpg","DCIM/JPEG_20230223120725257.jpg",7.15577631011612,46.7930712769837,NA
11,"Sedum palmeri S. Watson","dbgi_000969","DCIM/JPEG_20230223103135576.jpg","DCIM/JPEG_20230223103146599.jpg","DCIM/JPEG_20230223103218459.jpg","DCIM/JPEG_20230223103302621.jpg","DCIM/JPEG_20230223103319230.jpg",7.15580669157233,46.7930700172806,NA
5,"Schinus molle L. var. molle","dbgi_000985","DCIM/JPEG_20230207133016886.jpg","DCIM/JPEG_20230207132901346.jpg","DCIM/JPEG_20230207132919342.jpg","DCIM/JPEG_20230207132937123.jpg","DCIM/JPEG_20230207133005178.jpg",7.15509231607123,46.7931400949589,NA
18,"Lenophyllum texanum (J.G. Sm.) Rose","dbgi_000991","DCIM/JPEG_20230223114928457.jpg","DCIM/JPEG_20230223114937912.jpg","DCIM/JPEG_20230223114947462.jpg","DCIM/JPEG_20230223115024983.jpg","DCIM/JPEG_20230223115043644.jpg",7.15579379288017,46.7930713204464,NA
